raw_reason,canonical_reason,definition_used,problem_object,process_signal,actor_context,manuscript_categories,classification_strength,main_figure_recommended,caution,semantic_rationale
Investigation by Third Party,Investigation by Third Party,An investigation by any third party that is not the United States Office of Research Integrity (ORI).,article_general,third_party_investigation,third_party,post_publication_transparency_due_process_oversight,broad,False,"The reason indicates an investigation by a third party, which is a process signal. It does not specify the underlying problem or outcome, so it is assigned broadly to post-publication oversight. It is not specific enough for main-figure prevalence.","The definition describes an investigation by a non-ORI third party, which is a post-publication oversight process. The problem object is set to article_general as the investigation scope is unspecified. The process signal is third_party_investigation, and the actor context is third_party. The manuscript category post_publication_transparency_due_process_oversight is assigned because the investigation relates to transparency and due process after publication."
Lack of Approval from Author,Lack of Approval from Author,One or more authors did not approve one or more parts of the research or publication process(es). RW also uses this reason if the notice mentions a lack of documentation of alleged approval.,authorship_affiliation,authorship_publication_process,author,attribution_authorship_disclosure_integrity,strict,True,,"The definition directly concerns author approval of research or publication processes, which falls under authorship integrity and disclosure."
Lack of Approval from Company/Institution,Lack of Approval from Company/Institution,One or more companies/institutions did not approve one or more parts of the research or publication process(es). RW also uses this reason if the notice mentions a lack of documentation of alleged approval.,article_general,institutional_investigation;publication_policy_or_sanction,company_institution,attribution_authorship_disclosure_integrity;editorial_peer_review_governance,broad,True,None,"The definition centers on missing institutional approval for research or publication, which directly implicates authorship/affiliation integrity and editorial governance over required permissions. No specific data or image issues are mentioned, so problem_object is article_general. Process signals reflect institutional investigation and policy enforcement. Actor context is company/institution as the source of approval."
Lack of Approval from Third Party,Lack of Approval from Third Party,One or more third parties did not approve one or more parts of the research or publication process(es). RW also uses this reason if the notice mentions a lack of documentation of alleged approval.,article_general,research_ethics_approval_process;publication_policy_or_sanction,third_party,attribution_authorship_disclosure_integrity;editorial_peer_review_governance,broad,True,"The definition is broad and could encompass various approval types (ethics, data access, institutional). Without specifics, we assign general categories; if the lack of approval pertains to ethics, research_content_reliability might also apply, but we default to the most direct categories.","Lack of third-party approval directly implicates disclosure and governance processes, as it involves missing permissions that affect authorship/attribution integrity and editorial oversight of required approvals."
Lack of IRB/IACUC Approval and/or Compliance,Lack of IRB/IACUC Approval and/or Compliance,"Failure to obtain consent from the institutional ethical review board overseeing human or animal experimentation prior to initiation of study, or failure to provide proof of such",ethics_welfare,research_ethics_approval_process,author;company_institution,research_content_reliability;attribution_authorship_disclosure_integrity,strict,True,,"The definition describes failure to obtain or prove ethical review board consent for human/animal studies, directly impacting research ethics approval process and the reliability of research content, as well as disclosure integrity regarding required approvals."
Legal Reasons and/or Threats,Legal Reasons and/or Threats,"When a journal/publisher/author/third party uses the phrase “legal reasons,” documents litigation or legal threats, or mentions one or more specific laws",article_general,legal_process,unclear,post_publication_transparency_due_process_oversight,broad,False,"Legal reasons are a broad signal of external process, not directly indicating a specific manuscript integrity problem; main figure not recommended as it is a status/process notice.","The definition describes legal reasons or threats as a process signal involving litigation or laws, which relates to post-publication oversight and due process, but does not inherently confirm a problem with research content, authorship, or editorial governance."
Manipulation of Data,Manipulation of Data.,Manipulation of any data.,data,journal_publisher_investigation,unclear,research_content_reliability,strict,True,None,"The definition 'Manipulation of any data' directly indicates compromised research content reliability, as data manipulation undermines the trustworthiness of findings."
Manipulation of Images,Manipulation of Images,"Manipulation of one or more images, or part(s) of one or more images.",image,,unclear,research_content_reliability,strict,True,,"Image manipulation directly undermines the reliability of research content, as images are data or results. No process or actor is specified in the definition."
Manipulation of Results,Manipulation of Results,Manipulation of any results.,results_conclusions,,unclear,research_content_reliability,broad,True,Definition is very broad; no specific process or actor indicated. Assigned to research_content_reliability because manipulation directly undermines trust in results.,"The definition 'Manipulation of any results' directly concerns the reliability of research content, as it implies intentional alteration of findings, which falls under research_content_reliability. No other categories are clearly supported without additional context."
Miscommunication with/by Author,Miscommunication with/by Author,One or more authors misunderstood one or more parts of a message sent to and/or from one or more authors.,article_general,notice_opacity,author,,ambiguous,False,"The definition describes a communication misunderstanding without specifying any impact on research content, authorship, editorial processes, or post-publication oversight. It is a status/notice term indicating opacity about the underlying issue, not a substantive integrity breach.","The definition refers to a misunderstanding in author communication, which does not inherently imply problems with research reliability, attribution, editorial governance, or post-publication processes. It signals notice opacity about the actual cause, making it ambiguous for manuscript-facing categories."
Miscommunication with/by Company/Institution,Miscommunication with/by Company/Institution,One or more companies/institutions misunderstood one or more parts of a message sent to and/or from one or more companies/institutions.,article_general,notice_opacity,company_institution,,ambiguous,False,"The definition describes a communication misunderstanding involving companies/institutions, but does not specify any impact on research content, authorship, editorial processes, or post-publication oversight. It is a status/notice about a procedural miscommunication, not a substantive manuscript integrity issue.","The reason indicates a misunderstanding in communication between companies/institutions, which is a procedural notice without direct implication for the reliability of research content, authorship integrity, editorial governance, or post-publication due process. It is too ambiguous to assign to any manuscript-facing category."
Miscommunication with/by Journal/Publisher,Miscommunication with/by Journal/Publisher,One or more journals/publishers misunderstood one or more parts of a message sent to and/or from one or more journals/publishers.,article_general,journal_publisher_error,journal_publisher,editorial_peer_review_governance;post_publication_transparency_due_process_oversight,broad,False,"Miscommunication is a process error within journal/publisher operations, not directly about research content or authorship. It may affect editorial governance and transparency, but is often a status/notice issue rather than a substantive manuscript flaw.","The definition describes a misunderstanding involving journal/publisher communication, which is an internal editorial process error (editorial_peer_review_governance) and can impact post-publication transparency (post_publication_transparency_due_process_oversight). It does not inherently concern research content reliability or authorship integrity."
Miscommunication with/by Third Party,Miscommunication by Third Party,One or more third parties misunderstood one or more parts of a message sent to and/or from one or more third parties.,article_general,notice_opacity,third_party,,ambiguous,False,"The definition describes a communication error involving third parties, but does not specify any impact on research content, authorship, editorial processes, or post-publication oversight. It is a status/notice term indicating a misunderstanding, not a substantive manuscript integrity issue.","The definition centers on a third-party communication misunderstanding, which does not directly map to any of the four manuscript-facing categories. It is a procedural notice about information exchange, lacking clear connection to research reliability, attribution, editorial governance, or post-publication due process."
Misconduct - Official Investigation(s) and/or Finding(s),Misconduct – Official Investigation/Finding,"An investigation by an incorporated company, institution or government agency into misconduct allegations (founded or unfounded) and/or the finding(s) of misconduct by an incorporated company, institution or government agency.",article_general,institutional_investigation;official_misconduct_process,company_institution;ori_government,post_publication_transparency_due_process_oversight,broad,False,"The reason indicates an official investigation or finding of misconduct, which is a post-publication oversight process. It does not specify the nature of the misconduct (e.g., data fabrication, authorship issues), so it cannot be directly mapped to research content reliability or attribution integrity without further details. It is a status/process signal rather than a substantive content issue.","The definition describes an official investigation or finding by an institution or government agency, which aligns with post-publication oversight and due process. The problem object is set to article_general because the misconduct could pertain to any aspect of the article. The process signals are institutional_investigation and official_misconduct_process, and actor_context includes company_institution and ori_government. The manuscript category post_publication_transparency_due_process_oversight is assigned because the investigation/finding is a transparency and oversight mechanism after publication."
Misconduct by Author,Misconduct by Author,"Statement by journal, publisher, company, institution, government agency or author that one or more authors committed misconduct.",article_general,journal_publisher_investigation;institutional_investigation;official_misconduct_process,author;journal_publisher;company_institution;ori_government,research_content_reliability;attribution_authorship_disclosure_integrity;editorial_peer_review_governance;post_publication_transparency_due_process_oversight,broad,True,"Misconduct is a broad term that can affect any aspect of the manuscript. Without specifics, all categories are potentially relevant, but the assignment is broad rather than strict.","The definition indicates a statement of author misconduct, which can encompass fabrication, falsification, plagiarism, or other ethical breaches. This directly impacts research content reliability, authorship integrity, editorial governance, and post-publication oversight. The investigation sources (journal, institution, etc.) are reflected in actor_context and process_signal."
Misconduct by Company/Institution,Misconduct by Company/Institution,"Statement by journal, publisher, company, institution, government agency or author that one or more companies/institutions committed misconduct.",article_general,institutional_investigation,company_institution,research_content_reliability;attribution_authorship_disclosure_integrity;editorial_peer_review_governance;post_publication_transparency_due_process_oversight,broad,True,"The definition is broad and does not specify the nature of misconduct, so all manuscript categories are potentially relevant. However, without details, the assignment is broad and may overreach for specific cases.","Misconduct by a company/institution can affect research content reliability, authorship/disclosure integrity, editorial/peer review governance, and post-publication oversight, as it implies institutional-level wrongdoing that may undermine any aspect of the manuscript."
Misconduct by Third Party,Misconduct by Third Party,"Statement by journal, publisher, company, institution, government agency or author that one or more third party(ies) committed misconduct.",article_general,third_party_investigation,third_party,post_publication_transparency_due_process_oversight,broad,False,"The definition describes a statement about third-party misconduct, which is a transparency/due-process signal but does not directly assert a specific manuscript content or integrity problem. It is a broad oversight category.","The reason indicates a statement about third-party misconduct, which relates to post-publication oversight and transparency processes, but lacks specificity about the manuscript's content reliability or authorship integrity."
No Further Action,No Further Action,The journal or publisher has stated that no further action will be taken.,availability_notice_status,notice_opacity,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This is a status notice about the closure of a process, not a substantive finding. It does not directly indicate a problem with research content, authorship, or editorial governance, but it relates to post-publication transparency.","The definition describes a journal/publisher statement that no further action will be taken, which is a post-publication transparency signal about the status of an investigation or concern. It does not inherently confirm or deny any underlying issue, so it maps broadly to post_publication_transparency_due_process_oversight."
Nonpayment of Fees and/or Refusal to Pay,Nonpayment of Fees and/or Refusal to Pay,"Fees for services, licenses or access were not paid and/or completed, and/or there was a refusal to pay fees.",article_general,publication_policy_or_sanction,author,,ambiguous,False,"The reason describes a financial transaction failure between author and publisher, not a manuscript integrity issue. It does not directly map to any of the four manuscript-facing categories, which concern research content, attribution, editorial governance, or post-publication oversight.","Nonpayment of fees is a business/administrative matter, not a manuscript content or process integrity issue per the supplied category definitions."
Not Presented at Conference,Not Presented at Conference,The paper/abstract/poster was not presented at the conference for which it was accepted.,article_general,publication_policy_or_sanction,author,,ambiguous,False,"The reason describes a conference presentation status, not a manuscript integrity issue. It does not directly map to any of the four manuscript-facing categories, which focus on research content, attribution, editorial governance, or post-publication oversight.","The definition indicates that the work was not presented at the intended conference, which is a procedural or policy matter (publication_policy_or_sanction) involving the author. It does not inherently imply issues with research content reliability, authorship integrity, editorial/peer review governance, or post-publication transparency processes."
Notice - Lack of,Notice – Lack of,No notice was published by the journal or publisher.,availability_notice_status,notice_opacity,journal_publisher,post_publication_transparency_due_process_oversight,strict,False,"This is a status-only label indicating absence of a notice; it does not directly assert a problem with the research content, authorship, or editorial processes, but it is a transparency/oversight issue.","The definition describes a lack of published notice by the journal or publisher, which directly maps to post-publication transparency and due process oversight, as it concerns the availability of metadata about the article's status. It is a notice opacity process signal with the journal/publisher as the actor context."
Notice - Limited or No Information,Notice – Limited or No Information,"A notice provides minimal information as to the cause of the notice, or the original item is watermaked as retracted or corrected without explanation",availability_notice_status,notice_opacity,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This is a metadata/status label indicating opacity of the notice itself, not a substantive reason for retraction. It does not directly implicate research content, authorship, or editorial processes beyond the lack of transparency.","The definition describes a notice that provides minimal information or an unexplained watermark, which directly maps to notice opacity and post-publication transparency concerns. It does not assert any specific problem with research content, authorship, or editorial governance, so only the transparency oversight category is assigned."
Notice - Unable to Access via current resources,Notice – Unable to Access via current resources,"The notice is paywalled by the journal/publisher, only available in print or is in some form unavailable for inspection.",availability_notice_status,notice_opacity,journal_publisher,post_publication_transparency_due_process_oversight,strict,False,"This is a metadata/status label about notice accessibility, not a substantive reason for retraction. It does not imply any underlying research integrity issue.","The definition describes a notice that is inaccessible due to paywall or format, which directly relates to post-publication transparency and due process oversight, as it hinders the ability to inspect the retraction notice. No other categories are supported because the reason is purely about notice availability, not about research content, authorship, or editorial governance."
Objections by Author(s),Objections by Author(s),One or more authors objected to the notice or the wording of the notice.,availability_notice_status,notice_opacity,author,post_publication_transparency_due_process_oversight,broad,False,"This reason describes an author's objection to a notice, which is a post-publication transparency signal. It does not directly indicate issues with research content, authorship, or editorial processes, so it is assigned only to the post-publication category. Main figure recommendation is false because the reason is about notice wording, not substantive manuscript problems.","The definition describes an author's objection to a notice or its wording, which is a post-publication transparency and due process signal (notice_opacity) involving the author as actor. It does not inherently imply problems with research content, attribution, or editorial governance, so only the post-publication category is assigned."
Objections by Company/Institution,Objections by Company/Institution,One or more companies/institutions objected to the notice or the wording of the notice.,availability_notice_status,notice_opacity,company_institution,post_publication_transparency_due_process_oversight,broad,False,"This reason describes an objection to the notice itself, not necessarily a problem with the underlying research content. It is a metadata signal about post-publication transparency and due process, but does not directly indicate issues with research reliability, authorship, or editorial governance. Main figure recommendation is false because the reason is status-oriented and does not substantiate a core manuscript integrity problem.","The definition states that a company/institution objected to the notice or its wording, which directly relates to post-publication transparency and due process oversight. The problem object is the availability/notice status, and the process signal is notice opacity, as the objection implies a dispute over the notice's content or existence. The actor context is company/institution, as they are the source of the objection."
Objections by Third Party,Objections by Third Party,One or more third parties objected to the notice or the wording of the notice.,availability_notice_status,notice_opacity;third_party_investigation,third_party,post_publication_transparency_due_process_oversight,broad,False,"The reason describes a post-publication objection to the notice itself, not necessarily the underlying research content. It is a transparency/process signal, not a direct indicator of manuscript content issues.","The definition focuses on third-party objections to the notice or its wording, which directly relates to post-publication transparency and due process oversight. It does not inherently imply issues with research content, authorship, or editorial governance, though it may accompany such issues. The primary category is post_publication_transparency_due_process_oversight because the objection concerns the notice's transparency or wording."
Original Data and/or Images not Provided and/or not Available,Original Data and/or Images not Provided and/or not Available,The original data or images for the published study is no longer available or is not given to the editorial staff.,data;image,notice_opacity;removal_availability,author;editor;journal_publisher,research_content_reliability;post_publication_transparency_due_process_oversight,broad,True,None,"The definition describes unavailability or non-provision of original data/images to editorial staff, directly impacting research content reliability (inability to verify underlying data) and post-publication transparency (lack of access for scrutiny)."
Paper Mill,Paper Mill,When a journal/publisher/institution states that a paper came from a paper mill or the paper is in a list of paper mill papers. RW may also use this reason to reflect that RW has identified multiple paper mill criteria applying to this paper.,article_general,paper_mill,journal_publisher,research_content_reliability;attribution_authorship_disclosure_integrity;editorial_peer_review_governance,broad,True,"Paper mill designation is a composite signal; specific underlying problems (data, images, authorship) are not detailed in the definition, so problem_object is set to article_general. Actor_context reflects the typical source of the statement (journal/publisher/institution), not blame.","Paper mill involvement implies fabricated or manipulated content (research_content_reliability), likely fraudulent authorship or attribution issues (attribution_authorship_disclosure_integrity), and compromised peer review (editorial_peer_review_governance). The definition focuses on the origin of the paper, not post-publication processes, so post_publication_transparency_due_process_oversight is not directly supported."
Plagiarism of Data,Plagiarism of Data,Plagiarism of any of the data.,data,content_reuse_or_duplication_process,author,research_content_reliability;attribution_authorship_disclosure_integrity,strict,True,,"Plagiarism of data directly undermines the originality and reliability of research content, and constitutes a breach of attribution and authorship integrity."
Plagiarism of Image,Plagiarism of Image,Plagiarism of one or more images.,image,content_reuse_or_duplication_process,author,research_content_reliability;attribution_authorship_disclosure_integrity,strict,True,,Image plagiarism directly undermines research content reliability by misrepresenting data and violates attribution integrity by reusing others' work without credit.
Plagiarism of Text,Plagiarism of Text,Plagiarism of any of the text.,text_article,content_reuse_or_duplication_process,author,attribution_authorship_disclosure_integrity;research_content_reliability,strict,True,,"Plagiarism of text directly violates attribution and authorship integrity, and undermines research content reliability by misrepresenting originality."
Plagiarism of/in Article,Plagiarism of/in Article,"Plagiarism of a published item, or undefined sections of it.",text_article,content_reuse_or_duplication_process,author,attribution_authorship_disclosure_integrity;research_content_reliability,strict,True,,"Plagiarism directly violates attribution and authorship integrity, and undermines research content reliability by misrepresenting originality. The definition explicitly involves reuse of published content without proper credit."
Publishing Ban,Publishing Ban,When a journal/publisher states that no manuscripts will be accepted from one or more authors of the original article. Bans could be for a limited time or indefinitely.,article_general,publication_policy_or_sanction,journal_publisher;author,post_publication_transparency_due_process_oversight,broad,False,"Publishing ban is a post-publication sanction, not a direct indicator of manuscript content or process flaws. It reflects journal/publisher policy enforcement.","The definition describes a journal/publisher-imposed ban on future submissions from authors, which is a post-publication oversight action (publication_policy_or_sanction). It does not directly address research content, authorship integrity, or editorial governance, but fits post-publication transparency/due process/oversight broadly as a sanction notice."
Removed,Removed,The original article is removed from access on the journal’s website or publishing platform.,availability_notice_status,removal_availability,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This is a status-only term indicating removal of access, not the underlying cause. It does not directly assert problems with research content, authorship, or editorial processes, though it may accompany such issues.","The definition describes a post-publication action where the article is no longer accessible, which falls under transparency and due process oversight. It does not inherently indicate issues with research content, authorship, or editorial governance, so only the post-publication category is assigned."
Results Not Reproducible,Results Not Reproducible,"When repetition(s) of experiment(s), using the same materials and methods, failed to replicate the results in the original article.",results_conclusions,journal_publisher_investigation;third_party_investigation;institutional_investigation,author;journal_publisher;third_party;company_institution,research_content_reliability,strict,True,None,"The definition directly addresses failure to replicate results, which undermines the reliability of the research content. This maps strictly to research_content_reliability."
Retract and Replace,Retract and Replace,The change of an item’s status reflecting that a retracted item will be replaced with a new publication in the same journal. The journal has indicated that the replacement should be cited as the version of record.,article_general,correction_update_process,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This is a publication-status notice (retract and replace) that does not inherently indicate a problem with research content, authorship, or peer review. It primarily signals a post-publication correction/update process. Main figure recommendation is false because the label is status-only and does not substantively support a manuscript-category figure.","The definition describes a change in publication status where a retracted item is replaced by a new version, with the journal indicating the replacement as the version of record. This directly involves post-publication transparency and due process oversight (manuscript category) because it concerns the management of the scholarly record and correction/update processes. The problem object is 'article_general' as the entire article is being replaced. The process signal is 'correction_update_process' because the action is a structured replacement. The actor context is 'journal_publisher' as the journal executes the status change. No other manuscript categories are supported because the definition does not mention issues with research content, authorship, or peer review."
Rogue Editor,Rogue Editor,Used when an editor’s credentials are false/forged or when an editor subverts one or more processes under their purview. An “editor” may be an established editor affiliated with the journal or a guest editor.,article_general,editorial_breach;peer_review_compromised,editor,editorial_peer_review_governance,strict,True,None,"The definition describes an editor subverting processes under their purview, which directly maps to editorial/peer review governance failures. The actor is explicitly the editor, and the process signals include editorial breach and compromised peer review."
Sabotage of Materials/Methods,Sabotage of Materials/Methods,"An intentional action by a third party, without the researchers’ knowledge or consent, to sabotage or contaminate experimental ingredients or processes in order to influence experimental outcome(s).",methods_materials,third_party_investigation,third_party,research_content_reliability,strict,True,,"The definition describes intentional contamination of experimental materials by a third party, directly undermining the reliability of research content. The problem object is methods/materials, the process signal is third-party investigation, and the actor context is third party. This fits research_content_reliability strictly."
Salami Slicing,Salami Slicing,"The publication of several articles using the same dataset by breaking it into sections, with the intent of exploiting a limited data set for the production of several published works. This does not apply to large multi-group studies such as the Framingham Heart Study.",data;results_conclusions;article_general,content_reuse_or_duplication_process;editorial_breach,author,research_content_reliability;editorial_peer_review_governance,broad,True,"Salami slicing involves overlapping data and fragmented reporting, which can mislead about the novelty and completeness of findings. It primarily affects research content reliability and editorial governance, but does not directly implicate authorship attribution or post-publication oversight unless further issues arise.","Salami slicing fragments a dataset across multiple articles, undermining the integrity of reported results and violating editorial standards against duplicate or piecemeal publication. This directly impacts research content reliability and editorial peer review governance."
Taken from Dissertation/Thesis,Taken from Dissertation/Thesis,The duplicated or plagiarized content was taken from an academic dissertation or thesis.,text_article,content_reuse_or_duplication_process,author,attribution_authorship_disclosure_integrity;research_content_reliability,broad,True,None,"The definition describes duplicated or plagiarized content from a dissertation/thesis, which directly implicates attribution/authorship integrity and can undermine research content reliability if the reused material is presented as original."
Taken via Peer Review,Taken via Peer Review,The duplicated or plagiarized content was taken during the peer review process.,text_article;references_attribution,peer_review_compromised;content_reuse_or_duplication_process,author;editor;journal_publisher,attribution_authorship_disclosure_integrity;editorial_peer_review_governance,strict,True,,"The definition describes content taken during peer review, indicating a breach of confidentiality and reuse of unpublished material. This directly impacts attribution integrity and editorial governance, as the peer review process was compromised."
Taken via Translation,Taken via Translation,The duplicated or plagiarized content was created via a translation from one language to another.,text_article,content_reuse_or_duplication_process,author,attribution_authorship_disclosure_integrity;research_content_reliability,broad,True,"Translation-based duplication implies plagiarism, which affects both attribution integrity and content originality. However, the definition does not specify whether the translation was authorized or involved misattribution, so both categories are assigned broadly.","The definition describes duplicated/plagiarized content created via translation, directly implicating text reuse and authorship/attribution concerns, thus supporting attribution integrity and content reliability categories."
Temporary Removal,Temporary Removal,The original article is removed from the journal’s publishing platform and the notice states the removal will be for an undefined period of time.,availability_notice_status,removal_availability,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This is a status-only label indicating temporary removal without specifying underlying cause; it does not directly assert problems with research content, authorship, or editorial processes, but relates to post-publication transparency.","The definition describes a temporary removal of an article from the publishing platform, which is a post-publication action affecting availability and transparency, fitting the post_publication_transparency_due_process_oversight category. No direct evidence of content reliability, authorship, or editorial governance issues is provided."
Transfer of Copyright and/or Ownership,Transfer of Copyright and/or Ownership,A change in the copyright and/or ownership of the article or any of its content.,legal_rights,legal_process,unclear,,ambiguous,False,"The definition describes a legal status change (copyright/ownership transfer) without indicating any problem with research content, authorship, peer review, or post-publication oversight. It is a metadata/legal event, not a substantive integrity issue.","The definition refers to a change in copyright or ownership, which is a legal rights matter. It does not imply unreliability of research content, authorship/attribution issues, editorial/peer review problems, or post-publication transparency/due process concerns. Therefore, no manuscript category is assigned."
Unreliable Data,Unreliable Data,Any of the data is unreliable.,data,,unclear,research_content_reliability,strict,True,None,"The definition directly states that data is unreliable, which undermines the trustworthiness of research content, fitting the research_content_reliability category."
Unreliable Image,Unreliable Image,"One or more images, or part(s) of one or more images, are unreliable.",image,notice_opacity,unclear,research_content_reliability,strict,True,None,"The definition directly states that images are unreliable, which undermines the trustworthiness of research content, fitting the research_content_reliability category. The process signal is notice_opacity because the reason indicates a lack of transparency about the image's reliability, and the actor is unclear as no specific source is mentioned."
Unreliable Results and/or Conclusions,Unreliable Results and/or Conclusions,Any of the results and/or conclusions are unreliable.,results_conclusions,,unclear,research_content_reliability,strict,True,,"The definition directly states that results/conclusions are unreliable, which maps to research_content_reliability. No process or actor is specified, so actor_context is unclear."
Updated to Correction,Updated to Correction,The article has a correction after this notice.,article_general,correction_update_process,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This is a status notice indicating a correction exists, not a direct cause of retraction. It provides metadata transparency but does not itself indicate a problem with research content, authorship, or editorial governance.","The definition describes a post-publication update to a correction, which falls under post-publication transparency and due process oversight as it relates to the availability and status of the article after initial publication."
Updated to Expression of Concern,Updated to Expression of Concern,The article has an expression of concern after this notice.,article_general,notice_opacity,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This is a status/notice term indicating an expression of concern has been added, not a direct cause. It signals transparency but does not confirm a specific integrity problem.","The definition describes a post-publication notice (expression of concern) added to the article, which falls under post-publication transparency and due process oversight. It does not directly assert issues with research content, authorship, or editorial governance, though it may be associated with such concerns."
Updated to Retraction,Updated to Retraction,The article has a retraction after this notice.,availability_notice_status,notice_opacity,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,This is a status-only notice indicating a subsequent retraction; it does not specify the underlying reason for retraction.,"The definition describes a metadata update indicating a retraction exists after this notice, which relates to post-publication transparency and notice status, but does not directly address research content, authorship, or editorial governance."
Upgrade/Update of Prior Notice(s),Upgrade/Update of Prior Notice(s),At least one prior notice for the article has been upgraded or updated with this notice.,availability_notice_status,notice_opacity,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This is a metadata/status label indicating a change in notice status, not a direct cause of retraction. It does not imply specific content or process issues.","The definition describes an update to a prior notice, which relates to post-publication transparency and due process oversight. It does not directly address research content, authorship, or editorial governance."
Withdrawn as Out of Date,Withdrawn as Out of Date,The article has been retracted as part of a journal’s process of keeping guidelines or reviews current for professional use.,article_general,publication_policy_or_sanction,journal_publisher,post_publication_transparency_due_process_oversight,broad,False,"This is a status-only notice about a journal's routine update process, not a substantive integrity concern. It does not imply unreliability of research content, authorship issues, or editorial misconduct.","The definition describes a journal-driven process to keep guidelines or reviews current, which falls under post-publication transparency and due process oversight. No specific problem object beyond the article as a whole is indicated, and the process signal is a publication policy or sanction. The actor context is the journal/publisher. The classification is broad because the reason is procedural rather than indicative of a specific integrity breach."
Withdrawn to Publish in Different Journal,Withdrawn to Publish in Different Journal,The article was taken from one journal/platform or access type to be published in a different journal/platform or with a different access type.,article_general,content_reuse_or_duplication_process,author,editorial_peer_review_governance;post_publication_transparency_due_process_oversight,broad,False,"This is a status/notice term describing a withdrawal for republication elsewhere. It does not directly indicate issues with research content, authorship, or peer review integrity, but relates to editorial governance and post-publication transparency.","The definition describes an article being moved between journals/platforms, which involves editorial decisions and post-publication status changes, fitting editorial_peer_review_governance and post_publication_transparency_due_process_oversight. No direct evidence of research content or authorship issues."
